gene_name	num_fimo_hits	num_unique_promoters_hit	best_score	best_p_value	best_q_value
srh-181	10	1	1.42e+01	1.94e-05	2.44e-01
srh-182	10	1	1.42e+01	1.94e-05	2.44e-01
srx-93	10	1	1.42e+01	1.94e-05	2.44e-01
ddx-17	10	1	1.25e+01	5.57e-05	3.38e-01
endu-2	10	1	1.25e+01	5.57e-05	3.38e-01
nadk-2	10	1	1.25e+01	5.57e-05	3.38e-01
ncl-1	10	1	1.25e+01	5.57e-05	3.38e-01
nova-1	10	1	1.25e+01	5.57e-05	3.38e-01
nrfl-1	10	1	1.25e+01	5.57e-05	3.38e-01
par-5	10	1	1.25e+01	5.57e-05	3.38e-01
pst-2	10	1	1.25e+01	5.57e-05	3.38e-01
rbm-5	10	1	1.25e+01	5.57e-05	3.38e-01
skn-1	10	1	1.25e+01	5.57e-05	3.38e-01
aakg-1	9	1	1.42e+01	1.94e-05	2.44e-01
fars-2	9	1	1.42e+01	1.94e-05	2.44e-01
hach-1	9	1	1.42e+01	1.94e-05	2.44e-01
inx-8	9	1	1.42e+01	1.94e-05	2.44e-01
lst-4	9	1	1.42e+01	1.94e-05	2.44e-01
pyk-1	9	1	1.42e+01	1.94e-05	2.44e-01
rskn-1	9	1	1.42e+01	1.94e-05	2.44e-01
srm-3	9	1	1.42e+01	1.94e-05	2.44e-01
flad-1	9	1	1.25e+01	5.57e-05	3.38e-01
tln-1	9	1	1.25e+01	5.57e-05	3.38e-01
eif-2A	9	1	1.20e+01	7.51e-05	3.38e-01
ero-1	9	1	1.20e+01	7.51e-05	3.38e-01
arrd-11	8	1	1.42e+01	1.94e-05	2.44e-01
clec-234	8	1	1.42e+01	1.94e-05	2.44e-01
dys-1	8	1	1.42e+01	1.94e-05	2.44e-01
fut-3	8	1	1.42e+01	1.94e-05	2.44e-01
msp-55	8	1	1.42e+01	1.94e-05	2.44e-01
qars-1	8	1	1.42e+01	1.94e-05	2.44e-01
rep-1	8	1	1.42e+01	1.94e-05	2.44e-01
srh-127	8	1	1.42e+01	1.94e-05	2.44e-01
unc-34	8	1	1.42e+01	1.94e-05	2.44e-01
vps-26	8	1	1.42e+01	1.94e-05	2.44e-01
zhp-4	8	1	1.42e+01	1.94e-05	2.44e-01
zip-4	8	1	1.42e+01	1.94e-05	2.44e-01
zmp-3	8	1	1.42e+01	1.94e-05	2.44e-01
arrd-1	8	1	1.25e+01	5.57e-05	3.38e-01
bca-2	8	1	1.25e+01	5.57e-05	3.38e-01
bmk-1	8	1	1.25e+01	5.57e-05	3.38e-01
ddx-19	8	1	1.25e+01	5.57e-05	3.38e-01
dur-1	8	1	1.25e+01	5.57e-05	3.38e-01
ent-7	8	1	1.25e+01	5.57e-05	3.38e-01
gon-2	8	1	1.25e+01	5.57e-05	3.38e-01
hmr-1	8	1	1.25e+01	5.57e-05	3.38e-01
nhr-115	8	1	1.25e+01	5.57e-05	3.38e-01
pid-3	8	1	1.25e+01	5.57e-05	3.38e-01
ppw-1	8	1	1.25e+01	5.57e-05	3.38e-01
rmd-1	8	1	1.25e+01	5.57e-05	3.38e-01
spe-47	8	1	1.25e+01	5.57e-05	3.38e-01
sqv-6	8	1	1.25e+01	5.57e-05	3.38e-01
srbc-65	8	1	1.25e+01	5.57e-05	3.38e-01
ttll-4	8	1	1.25e+01	5.57e-05	3.38e-01
wnk-1	8	1	1.25e+01	5.57e-05	3.38e-01
zen-4	8	1	1.25e+01	5.57e-05	3.38e-01
math-27	8	1	1.20e+01	7.51e-05	3.38e-01
bris-1	7	1	1.42e+01	1.94e-05	2.44e-01
dct-16	7	1	1.42e+01	1.94e-05	2.44e-01
fat-2	7	1	1.42e+01	1.94e-05	2.44e-01
hum-2	7	1	1.42e+01	1.94e-05	2.44e-01
math-2	7	1	1.42e+01	1.94e-05	2.44e-01
mdt-18	7	1	1.42e+01	1.94e-05	2.44e-01
rig-5	7	1	1.42e+01	1.94e-05	2.44e-01
tent-5	7	1	1.42e+01	1.94e-05	2.44e-01
unc-7	7	1	1.42e+01	1.94e-05	2.44e-01
hsp-90	7	1	1.25e+01	5.57e-05	3.38e-01
pole-1	7	1	1.25e+01	5.57e-05	3.38e-01
tsen-54	7	1	1.25e+01	5.57e-05	3.38e-01
unc-101	7	1	1.25e+01	5.57e-05	3.38e-01
glna-2	7	1	1.20e+01	7.51e-05	3.38e-01
afd-1	6	1	1.42e+01	1.94e-05	2.44e-01
amph-1	6	1	1.42e+01	1.94e-05	2.44e-01
aqp-6	6	1	1.42e+01	1.94e-05	2.44e-01
asm-1	6	1	1.42e+01	1.94e-05	2.44e-01
ave-1	6	1	1.42e+01	1.94e-05	2.44e-01
cdc-48.2	6	1	1.42e+01	1.94e-05	2.44e-01
cdk-7	6	1	1.42e+01	1.94e-05	2.44e-01
chk-1	6	1	1.42e+01	1.94e-05	2.44e-01
clec-73	6	1	1.42e+01	1.94e-05	2.44e-01
cul-3	6	1	1.42e+01	1.94e-05	2.44e-01
daf-16	6	1	1.42e+01	1.94e-05	2.44e-01
dsbn-1	6	1	1.42e+01	1.94e-05	2.44e-01
efr-3	6	1	1.42e+01	1.94e-05	2.44e-01
eftu-2	6	1	1.42e+01	1.94e-05	2.44e-01
eri-6	6	1	1.42e+01	1.94e-05	2.44e-01
ets-4	6	1	1.42e+01	1.94e-05	2.44e-01
fbxa-31	6	1	1.42e+01	1.94e-05	2.44e-01
fkh-7	6	1	1.42e+01	1.94e-05	2.44e-01
fln-1	6	1	1.42e+01	1.94e-05	2.44e-01
gst-10	6	1	1.42e+01	1.94e-05	2.44e-01
his-39	6	1	1.42e+01	1.94e-05	2.44e-01
ins-18	6	1	1.42e+01	1.94e-05	2.44e-01
lmd-3	6	1	1.42e+01	1.94e-05	2.44e-01
mlc-5	6	1	1.42e+01	1.94e-05	2.44e-01
obr-1	6	1	1.42e+01	1.94e-05	2.44e-01
oig-8	6	1	1.42e+01	1.94e-05	2.44e-01
par-1	6	1	1.42e+01	1.94e-05	2.44e-01
prdx-6	6	1	1.42e+01	1.94e-05	2.44e-01
rbm-39	6	1	1.42e+01	1.94e-05	2.44e-01
rnh-1.3	6	1	1.42e+01	1.94e-05	2.44e-01
rom-5	6	1	1.42e+01	1.94e-05	2.44e-01
rpl-1	6	1	1.42e+01	1.94e-05	2.44e-01
rps-22	6	1	1.42e+01	1.94e-05	2.44e-01
sod-1	6	1	1.42e+01	1.94e-05	2.44e-01
srh-177	6	1	1.42e+01	1.94e-05	2.44e-01
srw-77	6	1	1.42e+01	1.94e-05	2.44e-01
str-30	6	1	1.42e+01	1.94e-05	2.44e-01
sws-1	6	1	1.42e+01	1.94e-05	2.44e-01
tin-10	6	1	1.42e+01	1.94e-05	2.44e-01
unc-73	6	1	1.42e+01	1.94e-05	2.44e-01
uri-1	6	1	1.42e+01	1.94e-05	2.44e-01
vps-8	6	1	1.42e+01	1.94e-05	2.44e-01
vrk-1	6	1	1.42e+01	1.94e-05	2.44e-01
zhp-3	6	1	1.42e+01	1.94e-05	2.44e-01
zyx-1	6	1	1.42e+01	1.94e-05	2.44e-01
acr-17	6	1	1.25e+01	5.57e-05	3.38e-01
alh-6	6	1	1.25e+01	5.57e-05	3.38e-01
atgp-2	6	1	1.25e+01	5.57e-05	3.38e-01
btb-6	6	1	1.25e+01	5.57e-05	3.38e-01
cab-1	6	1	1.25e+01	5.57e-05	3.38e-01
cas-1	6	1	1.25e+01	5.57e-05	3.38e-01
catp-7	6	1	1.25e+01	5.57e-05	3.38e-01
cct-6	6	1	1.25e+01	5.57e-05	3.38e-01
cnc-2	6	1	1.25e+01	5.57e-05	3.38e-01
col-129	6	1	1.25e+01	5.57e-05	3.38e-01
col-166	6	1	1.25e+01	5.57e-05	3.38e-01
ech-2	6	1	1.25e+01	5.57e-05	3.38e-01
eel-1	6	1	1.25e+01	5.57e-05	3.38e-01
fubl-2	6	1	1.25e+01	5.57e-05	3.38e-01
gpd-2	6	1	1.25e+01	5.57e-05	3.38e-01
hsp-110	6	1	1.25e+01	5.57e-05	3.38e-01
ilys-5	6	1	1.25e+01	5.57e-05	3.38e-01
lin-3	6	1	1.25e+01	5.57e-05	3.38e-01
mel-32	6	1	1.25e+01	5.57e-05	3.38e-01
npp-23	6	1	1.25e+01	5.57e-05	3.38e-01
rpc-11	6	1	1.25e+01	5.57e-05	3.38e-01
rpn-2	6	1	1.25e+01	5.57e-05	3.38e-01
sas-5	6	1	1.25e+01	5.57e-05	3.38e-01
soc-2	6	1	1.25e+01	5.57e-05	3.38e-01
ugt-52	6	1	1.25e+01	5.57e-05	3.38e-01
inx-14	6	1	1.20e+01	7.51e-05	3.38e-01
mec-1	6	1	1.20e+01	7.51e-05	3.38e-01
mlc-4	6	1	1.20e+01	7.51e-05	3.38e-01
pign-1	6	1	1.20e+01	7.51e-05	3.38e-01
stam-1	6	1	1.20e+01	7.51e-05	3.38e-01
strd-1	6	1	1.20e+01	7.51e-05	3.38e-01
dhs-2	6	1	1.03e+01	8.55e-05	3.39e-01
glna-1	6	1	1.03e+01	8.55e-05	3.39e-01
hsf-1	6	1	1.03e+01	8.55e-05	3.39e-01
htz-1	6	1	1.03e+01	8.55e-05	3.39e-01
lec-2	6	1	1.03e+01	8.55e-05	3.39e-01
set-31	6	1	1.03e+01	8.55e-05	3.39e-01
ags-3	5	1	1.42e+01	1.94e-05	2.44e-01
ahr-1	5	1	1.42e+01	1.94e-05	2.44e-01
arrd-15	5	1	1.42e+01	1.94e-05	2.44e-01
casy-1	5	1	1.42e+01	1.94e-05	2.44e-01
ced-1	5	1	1.42e+01	1.94e-05	2.44e-01
cpt-2	5	1	1.42e+01	1.94e-05	2.44e-01
dhs-3	5	1	1.42e+01	1.94e-05	2.44e-01
din-1	5	1	1.42e+01	1.94e-05	2.44e-01
epg-9	5	1	1.42e+01	1.94e-05	2.44e-01
fat-5	5	1	1.42e+01	1.94e-05	2.44e-01
fbxc-24	5	1	1.42e+01	1.94e-05	2.44e-01
gpa-16	5	1	1.42e+01	1.94e-05	2.44e-01
grh-1	5	1	1.42e+01	1.94e-05	2.44e-01
hpo-2	5	1	1.42e+01	1.94e-05	2.44e-01
hsp-16.1	5	1	1.42e+01	1.94e-05	2.44e-01
ipla-1	5	1	1.42e+01	1.94e-05	2.44e-01
ivph-3	5	1	1.42e+01	1.94e-05	2.44e-01
jnk-1	5	1	1.42e+01	1.94e-05	2.44e-01
kin-1	5	1	1.42e+01	1.94e-05	2.44e-01
mec-2	5	1	1.42e+01	1.94e-05	2.44e-01
nfyc-1	5	1	1.42e+01	1.94e-05	2.44e-01
nhr-98	5	1	1.42e+01	1.94e-05	2.44e-01
nsun-5	5	1	1.42e+01	1.94e-05	2.44e-01
pde-4	5	1	1.42e+01	1.94e-05	2.44e-01
pri-2	5	1	1.42e+01	1.94e-05	2.44e-01
rbf-1	5	1	1.42e+01	1.94e-05	2.44e-01
rcor-1	5	1	1.42e+01	1.94e-05	2.44e-01
rog-1	5	1	1.42e+01	1.94e-05	2.44e-01
rpc-1	5	1	1.42e+01	1.94e-05	2.44e-01
rpc-2	5	1	1.42e+01	1.94e-05	2.44e-01
sinh-1	5	1	1.42e+01	1.94e-05	2.44e-01
snr-3	5	1	1.42e+01	1.94e-05	2.44e-01
sptl-2	5	1	1.42e+01	1.94e-05	2.44e-01
srt-24	5	1	1.42e+01	1.94e-05	2.44e-01
srw-102	5	1	1.42e+01	1.94e-05	2.44e-01
ssb-1	5	1	1.42e+01	1.94e-05	2.44e-01
tag-180	5	1	1.42e+01	1.94e-05	2.44e-01
tald-1	5	1	1.42e+01	1.94e-05	2.44e-01
tin-9.2	5	1	1.42e+01	1.94e-05	2.44e-01
ubr-4	5	1	1.42e+01	1.94e-05	2.44e-01
unc-105	5	1	1.42e+01	1.94e-05	2.44e-01
unc-23	5	1	1.42e+01	1.94e-05	2.44e-01
cct-5	5	1	1.25e+01	5.57e-05	3.38e-01
cnt-1	5	1	1.25e+01	5.57e-05	3.38e-01
csk-1	5	1	1.25e+01	5.57e-05	3.38e-01
dgk-5	5	1	1.25e+01	5.57e-05	3.38e-01
hgap-2	5	1	1.25e+01	5.57e-05	3.38e-01
hsp-16.2	5	1	1.25e+01	5.57e-05	3.38e-01
nck-1	5	1	1.25e+01	5.57e-05	3.38e-01
ntl-3	5	1	1.25e+01	5.57e-05	3.38e-01
pdi-3	5	1	1.25e+01	5.57e-05	3.38e-01
pkc-1	5	1	1.25e+01	5.57e-05	3.38e-01
rec-8	5	1	1.25e+01	5.57e-05	3.38e-01
rig-1	5	1	1.25e+01	5.57e-05	3.38e-01
snx-13	5	1	1.25e+01	5.57e-05	3.38e-01
sul-3	5	1	1.25e+01	5.57e-05	3.38e-01
twk-13	5	1	1.25e+01	5.57e-05	3.38e-01
unc-120	5	1	1.25e+01	5.57e-05	3.38e-01
egl-9	5	1	1.20e+01	7.51e-05	3.38e-01
hlb-1	5	1	1.20e+01	7.51e-05	3.38e-01
hrpa-1	5	1	1.20e+01	7.51e-05	3.38e-01
hsp-60	5	1	1.20e+01	7.51e-05	3.38e-01
mtrf-1L	5	1	1.20e+01	7.51e-05	3.38e-01
rbd-1	5	1	1.20e+01	7.51e-05	3.38e-01
ret-1	5	1	1.20e+01	7.51e-05	3.38e-01
scm-1	5	1	1.20e+01	7.51e-05	3.38e-01
sqd-1	5	1	1.20e+01	7.51e-05	3.38e-01
twk-36	5	1	1.20e+01	7.51e-05	3.38e-01
ccb-2	5	1	1.03e+01	8.55e-05	3.39e-01
cyp-34A6	5	1	1.03e+01	8.55e-05	3.39e-01
elof-1	5	1	1.03e+01	8.55e-05	3.39e-01
pcyt-2.1	5	1	1.03e+01	8.55e-05	3.39e-01
aakb-2	4	1	1.42e+01	1.94e-05	2.44e-01
acs-1	4	1	1.42e+01	1.94e-05	2.44e-01
algn-3	4	1	1.42e+01	1.94e-05	2.44e-01
alh-12	4	1	1.42e+01	1.94e-05	2.44e-01
apb-1	4	1	1.42e+01	1.94e-05	2.44e-01
apy-1	4	1	1.42e+01	1.94e-05	2.44e-01
bcl-11	4	1	1.42e+01	1.94e-05	2.44e-01
bre-1	4	1	1.42e+01	1.94e-05	2.44e-01
btb-11	4	1	1.42e+01	1.94e-05	2.44e-01
cdr-2	4	1	1.42e+01	1.94e-05	2.44e-01
cka-2	4	1	1.42e+01	1.94e-05	2.44e-01
clec-121	4	1	1.42e+01	1.94e-05	2.44e-01
cln-3.1	4	1	1.42e+01	1.94e-05	2.44e-01
cpl-1	4	1	1.42e+01	1.94e-05	2.44e-01
crh-1	4	1	1.42e+01	1.94e-05	2.44e-01
denn-4	4	1	1.42e+01	1.94e-05	2.44e-01
dhs-12	4	1	1.42e+01	1.94e-05	2.44e-01
dmsr-4	4	1	1.42e+01	1.94e-05	2.44e-01
dot-1.1	4	1	1.42e+01	1.94e-05	2.44e-01
duo-3	4	1	1.42e+01	1.94e-05	2.44e-01
efa-6	4	1	1.42e+01	1.94e-05	2.44e-01
eif-3.I	4	1	1.42e+01	1.94e-05	2.44e-01
far-7	4	1	1.42e+01	1.94e-05	2.44e-01
fbxa-155	4	1	1.42e+01	1.94e-05	2.44e-01
fhod-1	4	1	1.42e+01	1.94e-05	2.44e-01
glb-24	4	1	1.42e+01	1.94e-05	2.44e-01
glb-27	4	1	1.42e+01	1.94e-05	2.44e-01
gld-1	4	1	1.42e+01	1.94e-05	2.44e-01
gmpr-1	4	1	1.42e+01	1.94e-05	2.44e-01
gpx-2	4	1	1.42e+01	1.94e-05	2.44e-01
gst-23	4	1	1.42e+01	1.94e-05	2.44e-01
hbl-1	4	1	1.42e+01	1.94e-05	2.44e-01
hip-1	4	1	1.42e+01	1.94e-05	2.44e-01
his-6	4	1	1.42e+01	1.94e-05	2.44e-01
hlh-1	4	1	1.42e+01	1.94e-05	2.44e-01
hsb-1	4	1	1.42e+01	1.94e-05	2.44e-01
hsp-12.1	4	1	1.42e+01	1.94e-05	2.44e-01
imb-2	4	1	1.42e+01	1.94e-05	2.44e-01
larp-5	4	1	1.42e+01	1.94e-05	2.44e-01
lips-5	4	1	1.42e+01	1.94e-05	2.44e-01
mai-2	4	1	1.42e+01	1.94e-05	2.44e-01
map-1	4	1	1.42e+01	1.94e-05	2.44e-01
mcm-4	4	1	1.42e+01	1.94e-05	2.44e-01
mre-11	4	1	1.42e+01	1.94e-05	2.44e-01
mrps-25	4	1	1.42e+01	1.94e-05	2.44e-01
msp-38	4	1	1.42e+01	1.94e-05	2.44e-01
nac-3	4	1	1.42e+01	1.94e-05	2.44e-01
nhr-13	4	1	1.42e+01	1.94e-05	2.44e-01
nhr-262	4	1	1.42e+01	1.94e-05	2.44e-01
npp-16	4	1	1.42e+01	1.94e-05	2.44e-01
obr-4	4	1	1.42e+01	1.94e-05	2.44e-01
pac-1	4	1	1.42e+01	1.94e-05	2.44e-01
pmk-2	4	1	1.42e+01	1.94e-05	2.44e-01
pnc-1	4	1	1.42e+01	1.94e-05	2.44e-01
pqn-42	4	1	1.42e+01	1.94e-05	2.44e-01
prk-1	4	1	1.42e+01	1.94e-05	2.44e-01
ptp-3	4	1	1.42e+01	1.94e-05	2.44e-01
rab-5	4	1	1.42e+01	1.94e-05	2.44e-01
rad-50	4	1	1.42e+01	1.94e-05	2.44e-01
rle-1	4	1	1.42e+01	1.94e-05	2.44e-01
rme-1	4	1	1.42e+01	1.94e-05	2.44e-01
rme-6	4	1	1.42e+01	1.94e-05	2.44e-01
rnf-5	4	1	1.42e+01	1.94e-05	2.44e-01
rps-6	4	1	1.42e+01	1.94e-05	2.44e-01
sca-1	4	1	1.42e+01	1.94e-05	2.44e-01
sdpn-1	4	1	1.42e+01	1.94e-05	2.44e-01
sdz-18	4	1	1.42e+01	1.94e-05	2.44e-01
sftd-3	4	1	1.42e+01	1.94e-05	2.44e-01
shc-2	4	1	1.42e+01	1.94e-05	2.44e-01
smg-8	4	1	1.42e+01	1.94e-05	2.44e-01
sra-14	4	1	1.42e+01	1.94e-05	2.44e-01
srab-16	4	1	1.42e+01	1.94e-05	2.44e-01
srab-23	4	1	1.42e+01	1.94e-05	2.44e-01
sre-53	4	1	1.42e+01	1.94e-05	2.44e-01
sre-54	4	1	1.42e+01	1.94e-05	2.44e-01
sre-8	4	1	1.42e+01	1.94e-05	2.44e-01
sru-28	4	1	1.42e+01	1.94e-05	2.44e-01
sru-39	4	1	1.42e+01	1.94e-05	2.44e-01
srw-103	4	1	1.42e+01	1.94e-05	2.44e-01
srx-102	4	1	1.42e+01	1.94e-05	2.44e-01
srx-119	4	1	1.42e+01	1.94e-05	2.44e-01
ssq-2	4	1	1.42e+01	1.94e-05	2.44e-01
sto-5	4	1	1.42e+01	1.94e-05	2.44e-01
str-166	4	1	1.42e+01	1.94e-05	2.44e-01
str-77	4	1	1.42e+01	1.94e-05	2.44e-01
str-89	4	1	1.42e+01	1.94e-05	2.44e-01
swsn-6	4	1	1.42e+01	1.94e-05	2.44e-01
tag-273	4	1	1.42e+01	1.94e-05	2.44e-01
tomm-22	4	1	1.42e+01	1.94e-05	2.44e-01
tsp-17	4	1	1.42e+01	1.94e-05	2.44e-01
ttbk-5	4	1	1.42e+01	1.94e-05	2.44e-01
ttc-7	4	1	1.42e+01	1.94e-05	2.44e-01
ttr-39	4	1	1.42e+01	1.94e-05	2.44e-01
ttr-48	4	1	1.42e+01	1.94e-05	2.44e-01
unc-108	4	1	1.42e+01	1.94e-05	2.44e-01
unc-79	4	1	1.42e+01	1.94e-05	2.44e-01
zipt-2.3	4	1	1.42e+01	1.94e-05	2.44e-01
abt-2	4	1	1.25e+01	5.57e-05	3.38e-01
acr-10	4	1	1.25e+01	5.57e-05	3.38e-01
act-3	4	1	1.25e+01	5.57e-05	3.38e-01
act-5	4	1	1.25e+01	5.57e-05	3.38e-01
ahcy-1	4	1	1.25e+01	5.57e-05	3.38e-01
asp-1	4	1	1.25e+01	5.57e-05	3.38e-01
ccar-1	4	1	1.25e+01	5.57e-05	3.38e-01
cct-4	4	1	1.25e+01	5.57e-05	3.38e-01
cep-1	4	1	1.25e+01	5.57e-05	3.38e-01
chtl-1	4	1	1.25e+01	5.57e-05	3.38e-01
cki-2	4	1	1.25e+01	5.57e-05	3.38e-01
clec-65	4	1	1.25e+01	5.57e-05	3.38e-01
cnc-10	4	1	1.25e+01	5.57e-05	3.38e-01
cpi-2	4	1	1.25e+01	5.57e-05	3.38e-01
cyn-17	4	1	1.25e+01	5.57e-05	3.38e-01
cyn-6	4	1	1.25e+01	5.57e-05	3.38e-01
cyp-33C1	4	1	1.25e+01	5.57e-05	3.38e-01
daf-15	4	1	1.25e+01	5.57e-05	3.38e-01
dao-2	4	1	1.25e+01	5.57e-05	3.38e-01
dhp-1	4	1	1.25e+01	5.57e-05	3.38e-01
epc-1	4	1	1.25e+01	5.57e-05	3.38e-01
erp-44.1	4	1	1.25e+01	5.57e-05	3.38e-01
ets-5	4	1	1.25e+01	5.57e-05	3.38e-01
fbxa-112	4	1	1.25e+01	5.57e-05	3.38e-01
fbxa-148	4	1	1.25e+01	5.57e-05	3.38e-01
frm-3	4	1	1.25e+01	5.57e-05	3.38e-01
fubl-3	4	1	1.25e+01	5.57e-05	3.38e-01
gei-4	4	1	1.25e+01	5.57e-05	3.38e-01
gld-2	4	1	1.25e+01	5.57e-05	3.38e-01
gpaa-1	4	1	1.25e+01	5.57e-05	3.38e-01
gst-1	4	1	1.25e+01	5.57e-05	3.38e-01
gst-40	4	1	1.25e+01	5.57e-05	3.38e-01
hil-7	4	1	1.25e+01	5.57e-05	3.38e-01
hlh-25	4	1	1.25e+01	5.57e-05	3.38e-01
hmg-4	4	1	1.25e+01	5.57e-05	3.38e-01
hpr-17	4	1	1.25e+01	5.57e-05	3.38e-01
hsp-16.11	4	1	1.25e+01	5.57e-05	3.38e-01
hsp-16.41	4	1	1.25e+01	5.57e-05	3.38e-01
hsp-16.48	4	1	1.25e+01	5.57e-05	3.38e-01
hsp-16.49	4	1	1.25e+01	5.57e-05	3.38e-01
inx-12	4	1	1.25e+01	5.57e-05	3.38e-01
kca-1	4	1	1.25e+01	5.57e-05	3.38e-01
klp-11	4	1	1.25e+01	5.57e-05	3.38e-01
ksr-1	4	1	1.25e+01	5.57e-05	3.38e-01
kvs-5	4	1	1.25e+01	5.57e-05	3.38e-01
lbp-2	4	1	1.25e+01	5.57e-05	3.38e-01
let-805	4	1	1.25e+01	5.57e-05	3.38e-01
lfe-2	4	1	1.25e+01	5.57e-05	3.38e-01
lgc-10	4	1	1.25e+01	5.57e-05	3.38e-01
lgc-34	4	1	1.25e+01	5.57e-05	3.38e-01
lin-42	4	1	1.25e+01	5.57e-05	3.38e-01
lmp-2	4	1	1.25e+01	5.57e-05	3.38e-01
mgl-1	4	1	1.25e+01	5.57e-05	3.38e-01
mig-10	4	1	1.25e+01	5.57e-05	3.38e-01
mlc-7	4	1	1.25e+01	5.57e-05	3.38e-01
moag-4	4	1	1.25e+01	5.57e-05	3.38e-01
mpz-5	4	1	1.25e+01	5.57e-05	3.38e-01
mrpl-1	4	1	1.25e+01	5.57e-05	3.38e-01
mrpl-54	4	1	1.25e+01	5.57e-05	3.38e-01
mrps-24	4	1	1.25e+01	5.57e-05	3.38e-01
ncx-10	4	1	1.25e+01	5.57e-05	3.38e-01
nhr-168	4	1	1.25e+01	5.57e-05	3.38e-01
nhr-17	4	1	1.25e+01	5.57e-05	3.38e-01
nhr-41	4	1	1.25e+01	5.57e-05	3.38e-01
nhx-6	4	1	1.25e+01	5.57e-05	3.38e-01
nlp-7	4	1	1.25e+01	5.57e-05	3.38e-01
nlp-8	4	1	1.25e+01	5.57e-05	3.38e-01
nlp-80	4	1	1.25e+01	5.57e-05	3.38e-01
npp-1	4	1	1.25e+01	5.57e-05	3.38e-01
nsph-1.2	4	1	1.25e+01	5.57e-05	3.38e-01
nuaf-3	4	1	1.25e+01	5.57e-05	3.38e-01
oga-1	4	1	1.25e+01	5.57e-05	3.38e-01
ooc-5	4	1	1.25e+01	5.57e-05	3.38e-01
pak-1	4	1	1.25e+01	5.57e-05	3.38e-01
pap-1	4	1	1.25e+01	5.57e-05	3.38e-01
par-4	4	1	1.25e+01	5.57e-05	3.38e-01
pid-5	4	1	1.25e+01	5.57e-05	3.38e-01
pqn-13	4	1	1.25e+01	5.57e-05	3.38e-01
pqn-83	4	1	1.25e+01	5.57e-05	3.38e-01
ptp-5.2	4	1	1.25e+01	5.57e-05	3.38e-01
pyk-2	4	1	1.25e+01	5.57e-05	3.38e-01
ref-2	4	1	1.25e+01	5.57e-05	3.38e-01
rfip-2	4	1	1.25e+01	5.57e-05	3.38e-01
rgs-1	4	1	1.25e+01	5.57e-05	3.38e-01
rig-4	4	1	1.25e+01	5.57e-05	3.38e-01
rin-1	4	1	1.25e+01	5.57e-05	3.38e-01
rpap-2	4	1	1.25e+01	5.57e-05	3.38e-01
simr-1	4	1	1.25e+01	5.57e-05	3.38e-01
ska-3	4	1	1.25e+01	5.57e-05	3.38e-01
slc-25A32	4	1	1.25e+01	5.57e-05	3.38e-01
